id,Category,Topic,Priority,Notes,PracticeExercise,link
76,Cloud & DevOps (Azure/AWS),DevSecOps - Integrating Security into CI/CD,High,"Explain the concept of DevSecOps ('Shift Left'). Discuss how to integrate security scanning tools into a CI/CD pipeline, including Static Application Security Testing (SAST), Dynamic Application Security Testing (DAST), and dependency scanning.","Modify a CI/CD pipeline (in Azure DevOps or GitHub Actions) to include a step that runs a container vulnerability scan on the built Docker image (e.g., using Trivy or a cloud provider's scanner). Configure the pipeline to fail if a critical vulnerability is found.",https://nhonvo.github.io/posts/2025-09-07-devsecops-integrating-security-into-ci-cd
77,Cloud & DevOps (Azure/AWS),Cloud Cost Management & FinOps,High,"Discuss strategies for optimizing cloud costs. Explain concepts like rightsizing instances, using spot instances, setting budgets and alerts, and tagging resources for cost allocation.","Analyze a sample cloud bill or usage report. Identify the top three cost drivers and propose specific, actionable recommendations for reducing the cost of each one (e.g., 'Switch this EC2 instance from on-demand to a savings plan' or 'Implement a lifecycle policy on this S3 bucket').",https://nhonvo.github.io/posts/2025-09-07-cloud-cost-management-finops
78,Behavioral & System Design,Managing Technical Debt,High,"Define technical debt and provide examples. Discuss a strategic approach for identifying, prioritizing, and paying down technical debt in a large codebase without halting feature development.",You've joined a team with a critical application that has significant technical debt. Outline your 30-60-90 day plan for addressing it. How would you convince product managers and stakeholders to invest time in these improvements?,https://nhonvo.github.io/posts/2025-09-07-managing-technical-debt
79,Behavioral & System Design,Leading and Mentoring,High,Describe your philosophy on mentoring junior and mid-level engineers. How do you handle code review feedback? How do you foster a culture of technical excellence and continuous improvement on your team?,"Describe a time you mentored another engineer. What was the situation, what was your approach, and what was the outcome? What did you learn from the experience?",https://nhonvo.github.io/posts/2025-09-07-leading-and-mentoring
80,Data Access & Databases,Data Annotation vs. Fluent API,Medium,Discuss the pros and cons of using Data Annotations vs. the Fluent API for configuring the EF Core data model. Explain which takes precedence.,"Create an entity with a property that is configured differently using both Data Annotations (e.g., [MaxLength(50)]) and the Fluent API (e.g., .HasMaxLength(100)). Demonstrate which configuration is applied when creating a migration.",https://nhonvo.github.io/posts/2025-09-07-data-annotation-vs-fluent-api
81,Data Access & Databases,EF Core Global Query Filters,Medium,Explain how to use global query filters to implement soft-delete functionality or multi-tenancy in an application.,"Define a global query filter on an entity (e.g., Product) that automatically filters out any records where an IsDeleted property is true. Write a query to fetch all products and show that the deleted ones are not returned by default. Then, show how to disable the filter for a specific query.",https://nhonvo.github.io/posts/2025-09-07-ef-core-global-query-filters
82,Data Access & Databases,Executing Raw SQL and Stored Procedures,High,Explain when it's appropriate to drop down to raw SQL or stored procedures with EF Core. Discuss the security implications (SQL injection) and how to prevent them.,Write code that safely executes a stored procedure using FromSqlRaw to return a list of entities. Ensure that you are passing parameters correctly to prevent SQL injection.,https://nhonvo.github.io/posts/2025-09-07-executing-raw-sql-and-stored-procedures
83,Data Access & Databases,EF Core Migrations Deep Dive,Medium,"Discuss advanced migration scenarios, such as generating idempotent SQL scripts for deployment, and strategies for rolling back a failed migration in a production environment.","Generate a SQL script from your EF Core migrations. Then, modify the script to make it idempotent (i.e., safe to run multiple times). Explain the changes you made and why they are important for CI/CD.",https://nhonvo.github.io/posts/2025-09-07-ef-core-migrations-deep-dive
84,Data Access & Databases,EF Core Interceptors,High,"Explain what interceptors are and how they can be used to intercept database operations for logging, auditing, or modifying commands before they are executed.",Implement a DbCommandInterceptor that logs the full text of every SQL command executed by EF Core to the console. Register the interceptor and show the logs generated by a simple query.,https://nhonvo.github.io/posts/2025-09-07-ef-core-interceptors
85,Data Access & Databases,EF Core Shadow Properties & Backing Fields,Low,"Explain what shadow properties are and why you might use them (e.g., for foreign keys or auditing data that you don't want on your entity model). Discuss how backing fields can allow for read-only properties.","Configure a LastUpdated shadow property on an entity. Use an interceptor or override SaveChanges to automatically set the value of this shadow property whenever the entity is updated. Then, query the database to confirm the value was saved, even though it's not on the C# class.",https://nhonvo.github.io/posts/2025-09-07-ef-core-shadow-properties-backing-fields
86,Testing,In-Memory vs. Testcontainers,Medium,"Compare and contrast the use of EF Core's in-memory provider with using a real database in a Docker container (via Testcontainers) for integration testing. Discuss the trade-offs in terms of speed, fidelity, and complexity.",Write two sets of integration tests for a repository. One set should use the EF Core in-memory database. The second set should use Testcontainers to spin up a real PostgreSQL or SQL Server container for the tests. Discuss any tests that pass with one setup but fail with the other.,https://nhonvo.github.io/posts/2025-09-07-in-memory-vs-testcontainers
87,Data Access & Databases,EF Core Second-Level Caching,Medium,Explain the concept of a second-level cache and how it can improve performance by caching query results outside of a single DbContext instance. Name a popular library for implementing it.,"Integrate a second-level caching provider (like EFCoreSecondLevelCacheInterceptor) into an ASP.NET Core application. Enable caching for a specific query and demonstrate that on the second execution of the query, the data is served from the cache instead of hitting the database.",https://nhonvo.github.io/posts/2025-09-07-ef-core-second-level-caching
88,Software Design & Architecture,Unit of Work Pattern with EF Core,High,Explain how the Unit of Work pattern can be used to group multiple repository operations into a single transaction. Discuss how DbContext inherently implements this pattern.,"Create a UnitOfWork class that encapsulates a DbContext and provides access to multiple repositories (e.g., IProductRepository, IOrderRepository). Implement a CompleteAsync method that calls SaveChangesAsync on the context. Use this unit of work in a service layer to perform a multi-step business operation.",https://nhonvo.github.io/posts/2025-09-07-unit-of-work-pattern-with-ef-core
89,.NET & C# Advanced,IAsyncEnumerable & Streaming APIs,Medium,"Explain how IAsyncEnumerable allows for efficient, non-blocking iteration over asynchronous data streams. Contrast this with returning a Task<IEnumerable<T>>.","Create an ASP.NET Core API endpoint that returns an IAsyncEnumerable<string>. The method should simulate fetching data in chunks (e.g., with Task.Delay) and yield return each chunk. Show how a client can consume this streaming response.",https://nhonvo.github.io/posts/2025-09-07-iasyncenumerable-streaming-apis
90,Front-End: Core Web,Web Workers for Offloading Main Thread,Medium,Explain what Web Workers are and how they can be used to run scripts in the background to prevent a web page from becoming unresponsive during long-running tasks.,"Create a simple web page with a button that performs an expensive calculation (e.g., calculating a large number of Fibonacci numbers). First, run it on the main thread and show that the UI freezes. Then, refactor it to use a Web Worker for the calculation, demonstrating that the UI remains responsive.",https://nhonvo.github.io/posts/2025-09-07-web-workers-for-offloading-main-thread
91,Front-End: ReactJS,State Machines and XState,Low,"Discuss the benefits of using a state machine for managing complex component state, such as preventing impossible states. Give a brief overview of a library like XState.","Model a simple data fetching component's state (e.g., 'idle', 'loading', 'success', 'error') as a state machine using XState. Integrate this machine into a React component to manage the UI based on the current state.",https://nhonvo.github.io/posts/2025-09-07-state-machines-and-xstate
92,Cloud & DevOps (Azure/AWS),Chaos Engineering Principles,Low,Explain the concept of Chaos Engineering. Discuss how deliberately injecting failures into a system in a controlled way can help build confidence in its resilience.,"Design a chaos experiment for a microservices-based application. For example, what would you test by injecting latency between the API gateway and a downstream service? What tool could you use (e.g., Chaos Monkey, Azure Chaos Studio)?",https://nhonvo.github.io/posts/2025-09-07-chaos-engineering-principles
93,Software Design & Architecture,Feature Flags/Toggles,High,"Discuss how feature flags can be used to decouple deployment from release, enabling practices like canary releases and A/B testing. Explain the risks and how to manage them.",Implement a simple feature flag system (or use a library like Microsoft.FeatureManagement). Create an API endpoint that behaves differently depending on whether a feature flag is enabled or disabled. Show how you can change the application's behavior without redeploying the code.,https://nhonvo.github.io/posts/2025-09-07-feature-flags-toggles
94,Behavioral & System Design,API Rate Limiting and Throttling Strategies,High,"Discuss different algorithms for rate limiting (e.g., Token Bucket, Leaky Bucket). Explain where rate limiting can be implemented in a system (e.g., API Gateway, middleware).","Design a rate-limiting strategy for a multi-tenant API. How would you handle different rate limits for different subscription tiers (e.g., Free vs. Pro)? Whiteboard the components involved.",https://nhonvo.github.io/posts/2025-09-07-api-rate-limiting-and-throttling-strategies
95,Data Access & Databases,Reverse Engineering an Existing Database,Low,Explain the process of using EF Core tools to scaffold a DbContext and entity classes from an existing database schema (database-first approach).,"Use the dotnet ef dbcontext scaffold command to generate a full EF Core model from an existing SQL database (e.g., a sample database like Northwind). Review the generated code and discuss any necessary customizations.",https://nhonvo.github.io/posts/2025-09-07-reverse-engineering-an-existing-database
96,ASP.NET Core,CORS Policies and Security,High,"Explain how Cross-Origin Resource Sharing (CORS) works. Discuss how to configure named policies, middleware, and attributes for both permissive and restrictive scenarios.","In an ASP.NET Core API, configure a restrictive default CORS policy. Then, create a specific named policy that allows requests only from 'https://example.com' with specific headers and methods. Apply this named policy to a single controller or endpoint.",https://nhonvo.github.io/posts/2025-09-07-cors-policies-and-security
97,Software Design & Architecture,DTOs and Object Mapping (AutoMapper),High,Explain the purpose of Data Transfer Objects (DTOs) and why they are important for decoupling your internal domain models from your external API contracts. Discuss the pros and cons of using an object mapping library like AutoMapper.,"Create an EF Core entity Product and a corresponding ProductDto. Configure AutoMapper to map between the two. In a controller, use the mapping to transform the entity to a DTO before returning it to the client, and to map an incoming DTO to an entity for saving to the database.",https://nhonvo.github.io/posts/2025-09-07-dtos-and-object-mapping-automapper
98,ASP.NET Core,Advanced Model Validation (FluentValidation),Medium,"Discuss the limitations of Data Annotations for validation. Explain how to use a library like FluentValidation to create complex, decoupled, and easily testable validation rules.","Create a complex model and use FluentValidation to create rules that are not possible with data annotations (e.g., conditional validation, or a rule that depends on another service). Integrate it into the ASP.NET Core pipeline to have validation errors automatically populate the ModelState.",https://nhonvo.github.io/posts/2025-09-07-advanced-model-validation-fluentvalidation
99,ASP.NET Core,HttpClientFactory for Resilient HTTP Requests,High,"Explain the problems with new HttpClient() (socket exhaustion) and how HttpClientFactory solves them. Discuss how to use it to configure named or typed clients and integrate it with Polly for resilience patterns (Retry, Circuit Breaker).",Use HttpClientFactory to create a typed client for an external API. Use the Polly extension to add a transient error handling policy that retries failed requests (HTTP 5xx or network errors) up to three times with an exponential backoff.,https://nhonvo.github.io/posts/2025-09-07-httpclientfactory-for-resilient-http-requests
100,ASP.NET Core,API Documentation with OpenAPI/Swagger,High,Explain the importance of API documentation. Discuss how to use libraries like Swashbuckle to automatically generate an OpenAPI specification and interactive Swagger UI from your C# controllers.,"Add Swashbuckle to an existing API project. Customize the generated Swagger UI by adding XML comments to your controller actions and models to provide detailed descriptions, examples, and annotations ([ProducesResponseType]).",https://nhonvo.github.io/posts/2025-09-07-api-documentation-with-openapi-swagger
101,ASP.NET Core,Response Caching & Compression,Medium,"Explain the difference between in-memory, distributed, and response caching. Discuss how to apply response caching profiles and how to configure response compression.","Add response compression to an ASP.NET Core API. Then, implement response caching on a GET endpoint that serves data that changes infrequently. Use attributes to set a cache profile and demonstrate that subsequent requests receive a cached response.",https://nhonvo.github.io/posts/2025-09-07-response-caching-compression
102,Data Structures & Algorithms (DSA),Big O Notation & Complexity Analysis,High,"This is the absolute foundation. Be able to analyze the time and space complexity of any algorithm you write or discuss. Understand O(1), O(log n), O(n), O(n log n), O(n^2), O(2^n).","For every DSA practice problem you solve, verbally and in code comments, analyze and state the time and space complexity of your solution. Explain the reasoning. Compare the complexity of brute-force vs. optimized solutions.",https://nhonvo.github.io/posts/2025-09-07-big-o-notation-complexity-analysis
103,Data Structures & Algorithms (DSA),Arrays & Strings - Core Operations and Patterns,High,"Focus on time/space complexity. Master patterns like Two Pointers, Sliding Window, and Prefix Sums for solving a wide range of problems efficiently.","Implement the Two Sum problem. Given a sorted array, square each element and return the sorted result. Find the maximum sum of any contiguous subarray of size 'k' (Sliding Window).",https://nhonvo.github.io/posts/2025-09-07-arrays-strings-core-operations-patterns
104,Data Structures & Algorithms (DSA),Linked Lists (Singly & Doubly),High,Understand the trade-offs vs. arrays. Be proficient in manipulating pointers. Master patterns like the Fast & Slow Pointer technique for cycle detection and finding the middle element.,Reverse a singly linked list. Detect if a linked list has a cycle. Merge two sorted linked lists. Find the middle element of a linked list.,https://nhonvo.github.io/posts/2025-09-07-linked-lists-singly-doubly
105,Data Structures & Algorithms (DSA),Stacks & Queues,High,"Understand their LIFO/FIFO principles. Know common use cases: Stacks for parsing, recursion simulation, and reversing. Queues for BFS and task scheduling.",Implement a Queue using two Stacks. Solve the Valid Parentheses problem. Implement a basic calculator to evaluate a string expression. Find the first non-repeating character in a stream of characters.,https://nhonvo.github.io/posts/2025-09-07-stacks-queues
106,Data Structures & Algorithms (DSA),Hash Tables (Dictionary/HashMap),High,"This is one of the most important data structures. Understand how hashing works, and discuss collision resolution strategies (chaining vs. open addressing) and their trade-offs.","Implement a HashMap from scratch with basic get, put, and delete operations, using chaining for collision resolution. Use a Dictionary to solve problems like finding the first non-repeating character in a string or checking if two arrays have a common item.",https://nhonvo.github.io/posts/2025-09-07-hash-tables-dictionary-hashmap
107,Data Structures & Algorithms (DSA),Trees - Traversal and Core Concepts,High,"Be able to implement and explain the differences between In-order, Pre-order, and Post-order (DFS variations) and Level-order (BFS) traversals, both recursively and iteratively.",Implement all four traversal methods for a given binary tree. Find the maximum depth of a binary tree. Check if a binary tree is symmetric (a mirror of itself).,https://nhonvo.github.io/posts/2025-09-07-trees-traversal-and-core-concepts
108,Data Structures & Algorithms (DSA),Binary Search Trees (BST),High,"Know the properties of a BST. Understand the time complexity for search, insertion, and deletion. Be able to validate if a given tree is a BST.","Implement search, insert, and delete operations for a BST. Write a function to validate if a binary tree is a valid BST. Find the lowest common ancestor (LCA) of two nodes in a BST.",https://nhonvo.github.io/posts/2025-09-07-binary-search-trees-bst
109,Data Structures & Algorithms (DSA),"Heaps (Min-Heap, Max-Heap)",Medium,Understand the properties of a heap and how they are typically implemented using an array. Know their use cases for priority queues and finding the K-th smallest/largest element.,Implement a Min-Heap from scratch with insert and extractMin operations. Use a Min-Heap to find the 'K' largest elements in an array. Find the median from a data stream.,https://nhonvo.github.io/posts/2025-09-07-heaps-min-heap-max-heap
110,Data Structures & Algorithms (DSA),Tries (Prefix Trees),Medium,Understand the structure of a Trie and its efficiency for string prefix problems. Know use cases like autocomplete and spell checkers.,"Implement a Trie from scratch with insert, search, and startsWith methods. Use the Trie to build a simple autocomplete system that suggests words based on a given prefix.",https://nhonvo.github.io/posts/2025-09-07-tries-prefix-trees
111,Data Structures & Algorithms (DSA),Graphs - Representations & Traversal,High,Understand adjacency list vs. adjacency matrix representations and their trade-offs. Be proficient in Breadth-First Search (BFS) for shortest path in unweighted graphs and Depth-First Search (DFS) for traversal and cycle detection.,Implement BFS and DFS for a given graph. Clone a graph. Find the number of connected components in an undirected graph. Detect a cycle in a directed graph.,https://nhonvo.github.io/posts/2025-09-07-graphs-representations-traversal
112,Data Structures & Algorithms (DSA),Advanced Graph Algorithms,Medium,Understand Dijkstra's algorithm for shortest path in a weighted graph and topological sort for ordering tasks with dependencies. Be aware of algorithms like A* and Prim's/Kruskal's for Minimum Spanning Trees.,"Implement Dijkstra's algorithm to find the shortest path between two nodes in a weighted graph. Given a list of courses and their prerequisites, find a valid order to take the courses (Topological Sort).",https://nhonvo.github.io/posts/2025-09-07-advanced-graph-algorithms
113,Data Structures & Algorithms (DSA),Searching & Sorting Algorithms,High,"Know the implementation and complexity of Bubble Sort, Insertion Sort, Merge Sort, Quick Sort, and Radix Sort. Deeply understand the trade-offs, especially for Quick Sort (pivot choice, in-place operation) and Merge Sort (space complexity). Master Binary Search.","Implement Merge Sort and Quick Sort from scratch. Implement binary search on a sorted array. Given a rotated sorted array, find a target element.",https://nhonvo.github.io/posts/2025-09-07-searching-sorting-algorithms
114,Data Structures & Algorithms (DSA),Recursion & Backtracking,High,"Master recursion as a problem-solving technique. Understand the backtracking template for solving problems involving permutations, combinations, and subsets. Be mindful of the call stack and potential for stack overflow.",Generate all possible subsets of a given set. Find all permutations of a string. Solve the N-Queens problem. Implement a Sudoku solver.,https://nhonvo.github.io/posts/2025-09-07-recursion-backtracking
115,Data Structures & Algorithms (DSA),Dynamic Programming (DP),High,This is a critical topic for senior interviews. Be able to identify a DP problem by recognizing optimal substructure and overlapping subproblems. Differentiate between memoization (top-down) and tabulation (bottom-up) approaches.,Solve the Climbing Stairs problem. Find the maximum sum of a non-adjacent subarray. Solve the Coin Change problem. Find the Longest Common Subsequence of two strings.,https://nhonvo.github.io/posts/2025-09-07-dynamic-programming-dp
116,Data Structures & Algorithms (DSA),Greedy Algorithms,Medium,Understand the greedy approach of making a locally optimal choice at each step. Be able to prove or disprove whether a greedy strategy works for a given problem.,Solve the Coin Change problem using a greedy approach and explain why it doesn't work for all coin denominations (contrasting it with the DP solution). Implement Huffman coding. Solve the Activity Selection problem.,https://nhonvo.github.io/posts/2025-09-07-greedy-algorithms
117,Data Structures & Algorithms (DSA),Divide and Conquer,Medium,"Understand how this paradigm breaks problems into smaller subproblems, solves them recursively, and combines the results. Recognize Merge Sort and Quick Sort as classic examples.",Find the maximum and minimum elements in an array using the divide and conquer approach. Implement Karatsuba's algorithm for fast multiplication of large numbers.,https://nhonvo.github.io/posts/2025-09-07-divide-and-conquer
118,Data Structures & Algorithms (DSA),Advanced String Manipulation,Medium,Be familiar with advanced algorithms like Rabin-Karp for substring search and algorithms for finding the longest palindromic substring.,Implement the Rabin-Karp algorithm to find all occurrences of a pattern in a text. Find the longest palindromic substring in a given string.,https://nhonvo.github.io/posts/2025-09-07-advanced-string-manipulation
119,Data Structures & Algorithms (DSA),Bit Manipulation,Low,"Understand basic bitwise operators (AND, OR, XOR, NOT, shifts). Know their use cases for efficient problem-solving, such as finding a missing number, checking for powers of two, or managing sets of flags.","Given an array where every element appears twice except for one, find the single element using XOR. Check if a number is a power of two using bitwise operators. Count the number of set bits (1s) in an integer.",https://nhonvo.github.io/posts/2025-09-07-bit-manipulation
120,Data Structures & Algorithms (DSA),Big O Notation & Complexity Analysis,High,"This is the absolute foundation. Be able to analyze the time and space complexity of any algorithm you write or discuss. Understand O(1), O(log n), O(n), O(n log n), O(n^2), O(2^n).","For every DSA practice problem you solve, verbally and in code comments, analyze and state the time and space complexity of your solution. Explain the reasoning. Compare the complexity of brute-force vs. optimized solutions.",https://nhonvo.github.io/posts/2025-09-07-big-o-notation-complexity-analysis
121,Data Structures & Algorithms (DSA),Arrays & Strings - Core Operations and Patterns,High,"Focus on time/space complexity. Master patterns like Two Pointers, Sliding Window, and Prefix Sums for solving a wide range of problems efficiently.","Implement the Two Sum problem. Given a sorted array, square each element and return the sorted result. Find the maximum sum of any contiguous subarray of size 'k' (Sliding Window).",https://nhonvo.github.io/posts/2025-09-07-arrays-strings-core-operations-patterns
122,Data Structures & Algorithms (DSA),Linked Lists (Singly & Doubly),High,Understand the trade-offs vs. arrays. Be proficient in manipulating pointers. Master patterns like the Fast & Slow Pointer technique for cycle detection and finding the middle element.,Reverse a singly linked list. Detect if a linked list has a cycle. Merge two sorted linked lists. Find the middle element of a linked list.,https://nhonvo.github.io/posts/2025-09-07-linked-lists-singly-doubly
123,Data Structures & Algorithms (DSA),Stacks & Queues,High,"Understand their LIFO/FIFO principles. Know common use cases: Stacks for parsing, recursion simulation, and reversing. Queues for BFS and task scheduling.",Implement a Queue using two Stacks. Solve the Valid Parentheses problem. Implement a basic calculator to evaluate a string expression. Find the first non-repeating character in a stream of characters.,https://nhonvo.github.io/posts/2025-09-07-stacks-queues
124,Data Structures & Algorithms (DSA),Hash Tables (Dictionary/HashMap),High,"This is one of the most important data structures. Understand how hashing works, and discuss collision resolution strategies (chaining vs. open addressing) and their trade-offs.","Implement a HashMap from scratch with basic get, put, and delete operations, using chaining for collision resolution. Use a Dictionary to solve problems like finding the first non-repeating character in a string or checking if two arrays have a common item.",https://nhonvo.github.io/posts/2025-09-07-hash-tables-dictionary-hashmap
125,Data Structures & Algorithms (DSA),Trees - Traversal and Core Concepts,High,"Be able to implement and explain the differences between In-order, Pre-order, and Post-order (DFS variations) and Level-order (BFS) traversals, both recursively and iteratively.",Implement all four traversal methods for a given binary tree. Find the maximum depth of a binary tree. Check if a binary tree is symmetric (a mirror of itself).,https://nhonvo.github.io/posts/2025-09-07-trees-traversal-and-core-concepts
126,Data Structures & Algorithms (DSA),Binary Search Trees (BST),High,"Know the properties of a BST. Understand the time complexity for search, insertion, and deletion. Be able to validate if a given tree is a BST.","Implement search, insert, and delete operations for a BST. Write a function to validate if a binary tree is a valid BST. Find the lowest common ancestor (LCA) of two nodes in a BST.",https://nhonvo.github.io/posts/2025-09-07-binary-search-trees-bst
127,Data Structures & Algorithms (DSA),"Heaps (Min-Heap, Max-Heap)",Medium,Understand the properties of a heap and how they are typically implemented using an array. Know their use cases for priority queues and finding the K-th smallest/largest element.,Implement a Min-Heap from scratch with insert and extractMin operations. Use a Min-Heap to find the 'K' largest elements in an array. Find the median from a data stream.,https://nhonvo.github.io/posts/2025-09-07-heaps-min-heap-max-heap
128,Data Structures & Algorithms (DSA),Tries (Prefix Trees),Medium,Understand the structure of a Trie and its efficiency for string prefix problems. Know use cases like autocomplete and spell checkers.,"Implement a Trie from scratch with insert, search, and startsWith methods. Use the Trie to build a simple autocomplete system that suggests words based on a given prefix.",https://nhonvo.github.io/posts/2025-09-07-tries-prefix-trees
129,Data Structures & Algorithms (DSA),Graphs - Representations & Traversal,High,Understand adjacency list vs. adjacency matrix representations and their trade-offs. Be proficient in Breadth-First Search (BFS) for shortest path in unweighted graphs and Depth-First Search (DFS) for traversal and cycle detection.,Implement BFS and DFS for a given graph. Clone a graph. Find the number of connected components in an undirected graph. Detect a cycle in a directed graph.,https://nhonvo.github.io/posts/2025-09-07-graphs-representations-traversal
130,Data Structures & Algorithms (DSA),Advanced Graph Algorithms,Medium,Understand Dijkstra's algorithm for shortest path in a weighted graph and topological sort for ordering tasks with dependencies. Be aware of algorithms like A* and Prim's/Kruskal's for Minimum Spanning Trees.,"Implement Dijkstra's algorithm to find the shortest path between two nodes in a weighted graph. Given a list of courses and their prerequisites, find a valid order to take the courses (Topological Sort).",https://nhonvo.github.io/posts/2025-09-07-advanced-graph-algorithms
131,Data Structures & Algorithms (DSA),Searching & Sorting Algorithms,High,"Know the implementation and complexity of Bubble Sort, Insertion Sort, Merge Sort, Quick Sort, and Radix Sort. Deeply understand the trade-offs, especially for Quick Sort (pivot choice, in-place operation) and Merge Sort (space complexity). Master Binary Search.","Implement Merge Sort and Quick Sort from scratch. Implement binary search on a sorted array. Given a rotated sorted array, find a target element.",https://nhonvo.github.io/posts/2025-09-07-searching-sorting-algorithms
132,Data Structures & Algorithms (DSA),Recursion & Backtracking,High,"Master recursion as a problem-solving technique. Understand the backtracking template for solving problems involving permutations, combinations, and subsets. Be mindful of the call stack and potential for stack overflow.",Generate all possible subsets of a given set. Find all permutations of a string. Solve the N-Queens problem. Implement a Sudoku solver.,https://nhonvo.github.io/posts/2025-09-07-recursion-backtracking
133,Data Structures & Algorithms (DSA),Dynamic Programming (DP),High,This is a critical topic for senior interviews. Be able to identify a DP problem by recognizing optimal substructure and overlapping subproblems. Differentiate between memoization (top-down) and tabulation (bottom-up) approaches.,Solve the Climbing Stairs problem. Find the maximum sum of a non-adjacent subarray. Solve the Coin Change problem. Find the Longest Common Subsequence of two strings.,https://nhonvo.github.io/posts/2025-09-07-dynamic-programming-dp
134,Data Structures & Algorithms (DSA),Greedy Algorithms,Medium,Understand the greedy approach of making a locally optimal choice at each step. Be able to prove or disprove whether a greedy strategy works for a given problem.,Solve the Coin Change problem using a greedy approach and explain why it doesn't work for all coin denominations (contrasting it with the DP solution). Implement Huffman coding. Solve the Activity Selection problem.,https://nhonvo.github.io/posts/2025-09-07-greedy-algorithms
135,Data Structures & Algorithms (DSA),Divide and Conquer,Medium,"Understand how this paradigm breaks problems into smaller subproblems, solves them recursively, and combines the results. Recognize Merge Sort and Quick Sort as classic examples.",Find the maximum and minimum elements in an array using the divide and conquer approach. Implement Karatsuba's algorithm for fast multiplication of large numbers.,https://nhonvo.github.io/posts/2025-09-07-divide-and-conquer
136,Data Structures & Algorithms (DSA),Advanced String Manipulation,Medium,Be familiar with advanced algorithms like Rabin-Karp for substring search and algorithms for finding the longest palindromic substring.,Implement the Rabin-Karp algorithm to find all occurrences of a pattern in a text. Find the longest palindromic substring in a given string.,https://nhonvo.github.io/posts/2025-09-07-advanced-string-manipulation
137,Data Structures & Algorithms (DSA),Bit Manipulation,Low,"Understand basic bitwise operators (AND, OR, XOR, NOT, shifts). Know their use cases for efficient problem-solving, such as finding a missing number, checking for powers of two, or managing sets of flags.","Given an array where every element appears twice except for one, find the single element using XOR. Check if a number is a power of two using bitwise operators. Count the number of set bits (1s) in an integer.",https://nhonvo.github.io/posts/2025-09-07-bit-manipulation
